,wav,sigma_wav,separation,intensity,sigma_intensity,label,number_of_lines,clean,subline_wav,subline_I,err_important,transmission
22,1505.9412013225824,0.0007363180840410437,0.3854104257816289,0.0015491643468689273,0.0006601582138342166,CH4|CO2|CO2|CH4|CH4|H20|CH4|CH4|H20|CH4|H20|CH4|CH4|CH4|CH4|CO2|CO2|H20,18,False,"[1506.09538641 1506.04719289 1506.01127284 1506.00958063 1506.00075791
 1505.99897002 1505.99102809 1505.96333621 1505.93892692 1505.92788937
 1505.92609847 1505.9138517  1505.89639002 1505.88949617 1505.87033432
 1505.85930979 1505.83558119 1505.81783291]","[0.1261 0.0526 0.0816 0.0272 0.0154 0.017  0.018  0.0092 0.2216 0.0088
 0.1705 0.0359 0.0094 0.0356 0.0329 0.0222 0.0386 0.0774]",0.12544021711098574,0.9433868351195737
23,1506.3911454607946,0.0013475816938115694,0.44994413821223134,0.006977620216037807,0.002084806608513822,(3-1)qQ2f(1.5)|(3-1)qQ2e(1.5)|CO2|H20|H20,5,False,[1506.45411594 1506.34542287 1506.41373393 1506.40173247 1506.30584613],[0.4512 0.4495 0.0626 0.017  0.0196],0.07340436836590757,0.9505833710235924
24,1506.896319663511,0.0007000150217663758,0.5051742027162618,0.06051622837484094,0.02271937815647974,(3-1)qQ1f(2.5)|(3-1)qQ1e(2.5),2,True,[1506.93583482 1506.85743675],[0.5001 0.4999],0.003826623024760187,0.9509745700958445
25,1507.761129600976,0.0007094974601162538,0.8648099374649973,0.00759520652377454,0.005709592316367441,H20|CH4|H20|CH4|CO2|H20|H20|CH4,8,False,"[1507.81534241 1507.80018964 1507.7594037  1507.7343758  1507.70321615
 1507.69427424 1507.65258756 1507.65247459]",[0.1086 0.1696 0.5663 0.0109 0.017  0.0253 0.039  0.0633],0.08687123387192314,0.9500940737063152
26,1509.35730954342,0.0007252036350748283,0.6657444587749524,0.004986008952457954,0.0019267072503930832,CH4|H20|H20|CO2|CO2,5,False,[1509.49450154 1509.40460805 1509.34318615 1509.32123226 1509.26457881],[0.191  0.26   0.289  0.0807 0.1792],0.04807457545617773,0.9503540994070012
27,1510.0230540021948,0.0007131084127483999,0.6495561803526471,0.01707106375102437,0.007273544828278842,CO2|H20|CH4|CH4|H20|H20|CO2|CH4|H20|CO2|H20,11,False,"[1510.13474343 1510.07617247 1510.06787166 1510.06249016 1510.04054909
 1510.01417786 1510.00984834 1509.99953401 1509.96220972 1509.958738
 1509.94408884]","[0.0308 0.1474 0.0855 0.0903 0.1542 0.0963 0.0597 0.0517 0.1029 0.094
 0.0872]",0.02062618721517014,0.9510925061764407
28,1510.6726101825475,0.001188551956494018,0.6495561803526471,0.0029594374937327445,0.0008962754625010492,(3-1)qQ2f(3.5)|(3-1)qQ2e(3.5)|(2-0)oP12f(3.5)|(2-0)oP12e(3.5)|CH4|CH4|CH4|CO2|CH4|CO2|CH4,11,False,"[1510.78082636 1510.69617769 1510.61358857 1510.61098095 1510.71906541
 1510.68750225 1510.67460806 1510.67394921 1510.66055022 1510.62420485
 1510.58319115]","[0.1812 0.1809 0.0977 0.1003 0.0129 0.0088 0.0204 0.3459 0.0085 0.0218
 0.0216]",0.062483880873122934,0.9510377110834999
29,1512.5865659097312,0.0007271440757642666,0.489136358557289,0.028149996842084232,0.012369995278413393,CO2|CH4|H20|H20|H20|CO2|CO2|CH4|CH4,9,False,"[1512.63305423 1512.60822485 1512.60541361 1512.59934226 1512.59584696
 1512.57911677 1512.57650239 1512.56431972 1512.55002079]",[0.0412 0.1238 0.0848 0.1303 0.1297 0.0231 0.0845 0.1392 0.2435],0.05094277552740607,0.9505872239438242
30,1513.0757022682885,0.000708289718366194,0.489136358557289,0.001666804664113177,0.0007032462897167327,H20|H20|H20|CH4|CO2|H20|CH4|CO2|CH4,9,False,"[1513.09792283 1513.08101807 1513.07707502 1513.0544904  1513.04769958
 1513.01963839 1513.01504621 1512.96373223 1512.91792107]",[0.3019 0.2846 0.0277 0.0869 0.0228 0.0482 0.03   0.0711 0.1269],0.0164909733195212,0.9484257280092541
31,1515.0619948925955,0.0007000150217663758,0.8379766030191149,0.03542135056434636,0.013996223188343792,H20|CO2|CH4|CO2|CH4|H20,6,False,"[1515.08438383 1515.08316309 1515.08221162 1515.0658003  1515.03510995
 1515.03337996]",[0.1486 0.1022 0.1507 0.2698 0.1579 0.1708],0.017726072934344334,0.9517270344353221
32,1515.8999714956146,0.0007176628319429217,0.7716208687327253,0.0008912523717744333,0.0003958575859042586,H20|CO2|H20|CH4|CO2|CH4|CH4|H20,8,False,"[1516.06297474 1515.93840203 1515.90006913 1515.87258818 1515.87240803
 1515.84080931 1515.80232258 1515.7629914 ]",[0.1133 0.3901 0.0097 0.0631 0.0347 0.1627 0.0415 0.185 ],0.06953602863425458,0.9516347828625731
33,1516.6715923643474,0.0008159410795378743,0.3469445141261076,0.0018012468376117047,0.0007306472232049048,CH4|CO2|CH4|CH4|CH4|H20|CH4|CO2|CH4|H20|CH4|CO2,12,False,"[1516.72760196 1516.72344572 1516.69153156 1516.68520562 1516.65024134
 1516.64414369 1516.64016641 1516.62955913 1516.62590532 1516.61337051
 1516.57523462 1516.55220047]","[0.2401 0.0878 0.0505 0.0359 0.2036 0.1074 0.0408 0.0965 0.0129 0.034
 0.0407 0.0497]",0.06901661056574722,0.9490609382957916
34,1517.0185368784735,0.0007000150217663758,0.2801517014943329,0.0012622754717613828,0.0005277001452054711,H20|CO2|CH4|CO2|H20|CO2|H20|CO2|CH4|CH4|CH4|CH4|CO2,13,False,"[1517.06920786 1517.06661177 1517.06250822 1517.05679782 1517.05107502
 1517.04896391 1517.03521019 1517.02878886 1517.01970193 1516.99984155
 1516.99068248 1516.97459683 1516.93722791]","[0.016  0.1017 0.0453 0.1151 0.1293 0.0199 0.01   0.1117 0.042  0.0421
 0.0399 0.2535 0.0736]",0.03005961908552298,0.9504384235371351
35,1517.2986885799678,0.0007228386199940116,0.2801517014943329,0.0004440113395629643,0.00018814964786657222,H20|CH4|CH4|CO2|CO2|CH4|CH4|CO2|CH4|CO2|CH4,11,False,"[1517.3646119  1517.34677108 1517.33758479 1517.32224095 1517.29009439
 1517.27892412 1517.27213285 1517.267027   1517.24667189 1517.22515343
 1517.20645636]","[0.0147 0.1399 0.2098 0.1122 0.0784 0.0732 0.0098 0.0484 0.0796 0.0744
 0.1596]",0.018085921326411677,0.940148866519952
36,1517.7185519002546,0.0007000150217663758,0.4198633202868223,0.058698548441591475,0.022883899804951265,H20|H20|H20|CH4|CH4|CO2,6,False,"[1517.73437136 1517.73125586 1517.72757601 1517.71177995 1517.70447805
 1517.70149097]",[0.2248 0.1434 0.1468 0.2477 0.1499 0.0874],0.011210445301165212,0.9468590773739155
37,1518.7125732311838,0.0007000150217663758,0.9262690149498667,0.04497672707481145,0.017513183626129986,(3-1)pP2f(1.5)|(3-1)pP2e(1.5),2,True,[1518.72714735 1518.70077499],[0.4951 0.5049],0.004166720674079315,0.9393922571368902
38,1519.6388422461337,0.0007583234182639789,0.44459316131565174,0.0020773705119735324,0.000874685991774419,CO2|CO2|CH4|H20|CO2|CH4|CO2|CH4|CO2|CO2,10,False,"[1519.72557205 1519.70360817 1519.65965459 1519.6544747  1519.64792449
 1519.63995596 1519.6191875  1519.61633213 1519.60100313 1519.58208189]",[0.0967 0.2015 0.1706 0.0193 0.0216 0.0303 0.0514 0.0171 0.0329 0.3585],0.03900614994288435,0.9436973199349556
39,1520.0834354074493,0.0007292668902655521,0.2811732751406453,0.0013373152682389336,0.0005281189031258524,CH4|H20|H20|CH4|H20|H20,6,False,"[1520.08980326 1520.08570737 1520.07551234 1520.06919233 1520.0088878
 1519.98535739]",[0.4665 0.032  0.2395 0.1764 0.0274 0.0581],0.044545065482272696,0.9507510199061239
40,1520.36460868259,0.0007000150217663758,0.2811732751406453,0.03915006101955845,0.014810265682320122,CH4|H20|CH4|CO2,4,False,[1520.37977871 1520.3768435  1520.35793483 1520.34579083],[0.2615 0.178  0.2866 0.2739],0.00059989701433775,0.9432105395312045
41,1520.8140760864335,0.0008033989157675839,0.2651306894990739,0.00019572485168912576,8.955940523467268e-05,CH4|CH4|H20|CO2|CH4|H20|H20|H20|CO2|H20|CO2,11,False,"[1520.94086132 1520.93625794 1520.93003603 1520.8327865  1520.81960984
 1520.80016236 1520.78432864 1520.77135703 1520.72025471 1520.66299505
 1520.65334424]","[0.0544 0.1116 0.0555 0.0315 0.3193 0.0471 0.0167 0.0857 0.052  0.0874
 0.1389]",0.02409709578818759,0.9516970151889612
42,1521.0792067759326,0.0007372133285050887,0.2651306894990739,0.0006029315845830432,0.000555563971891196,H20|CO2|CH4|CO2|CH4|CH4,6,False,"[1521.11540718 1521.09182075 1521.08330214 1521.07587129 1520.97160518
 1520.93625794]",[0.0164 0.0672 0.7263 0.0337 0.0401 0.1163],0.022382921446612542,0.952368793896546
43,1521.6896802210501,0.0007688273689084768,0.2610452570017969,0.0005867575496181271,0.00022606252659574882,CO2|H20|CO2|CH4|CH4|CO2|H20|CH4|H20|H20|CO2,11,False,"[1521.82933733 1521.71154677 1521.70376429 1521.70276835 1521.68727729
 1521.68288265 1521.66940946 1521.6596998  1521.61980475 1521.58087722
 1521.56599313]","[0.0832 0.3094 0.0153 0.1879 0.023  0.1888 0.0276 0.0172 0.0192 0.042
 0.0863]",0.04716336623539298,0.9500330538357594
44,1521.950725478052,0.000840612641845194,0.2610452570017969,0.00022307212344895036,9.320653971478346e-05,CH4|CH4|CO2|CH4|H20|CH4|CH4|CO2|CO2|CO2|CO2,11,False,"[1522.00955183 1521.98747578 1521.98295525 1521.98235645 1521.94724689
 1521.94686957 1521.9378128  1521.91790891 1521.90499902 1521.89367963
 1521.82933733]","[0.0921 0.166  0.0576 0.0808 0.1113 0.0151 0.093  0.1233 0.0448 0.0175
 0.1985]",0.031676439107321624,0.9468489919355303
45,1523.5251765059343,0.0007000150217663758,0.5705122427507376,0.055769276047755535,0.020958229111529288,CO2|CH4|CH4|CH4,4,False,[1523.53378637 1523.52736074 1523.52248637 1523.51782093],[0.2289 0.1703 0.2135 0.3872],0.006481022322219394,0.9501997636080632
46,1524.095688748685,0.0007000150217663758,0.5705122427507376,0.1506285939367799,0.05656011018359219,(3-1)pP1f(2.5)|(3-1)pP1e(2.5),2,True,[1524.11200364 1524.07866543],[0.4997 0.5003],0.0006924995383486705,0.9515131755217062
47,1525.065501801504,0.0007272667142165156,0.9235818883189495,0.0002612755407146382,0.00014860340813711167,CO2|CO2|H20|CO2|H20|CO2|H20|H20|CH4|CH4|CO2|CO2,12,False,"[1525.1881391  1525.16787725 1525.163954   1525.14261442 1525.08765044
 1525.08052115 1525.07912679 1525.06423325 1525.06157322 1525.03871082
 1525.02903602 1524.9673592 ]","[0.0451 0.0611 0.0983 0.0289 0.0216 0.2125 0.0218 0.039  0.1586 0.0163
 0.2519 0.0449]",0.007958551028740895,0.9491240256059098
48,1525.989083689823,0.0008557189784683777,0.542657334661726,0.00032824390563262443,0.00030934221447364473,H20|CH4|CH4|CH4|H20|CO2,6,False,"[1526.12321754 1526.01109566 1525.99244292 1525.92330835 1525.91731915
 1525.82177408]",[0.1339 0.0277 0.4742 0.0165 0.0186 0.3291],0.01137338128267704,0.9508388131640535
